,,,创建歌单卡片非首次秀出有创建过歌单（待编辑状态）-副标题,favorites_diy_txt4,去收藏更多好听歌曲,去收藏更多好聽歌曲,Add more euphonic songs to favorite,Va a guardar más canciones bonitas,Сохраните еще больше красивых песен,"Coloque mais músicas lindas em ""Favoritos""",Sammle jetzt mehr Lieder!,아름다운 음악을 더 많이 '좋아'하러,もっと良い曲をお気に入り登録しましょう,Ajouter plus de morceaux au favori,Aggiungi più belle canzoni al favorito,حفظ مزيد من الأغاني الجميلة,Fazla güzel şarkı favorilere ekle,Menyimpan lebih banyak lagu enak,,
,,,高版本到低版本的空白卡片,favorites_diy_txt5,升级新版，获得这首歌曲,升級新版，獲得這首歌曲,Update to get this song,Renova la última versión a conseguir esta canción,"Обновите версию, получите данную песню",Atualize seu jogo para obter esta música,Durchs Update erhält man dieses Lied,새버전 업데이트하여 이 노래를 획득하기,新しいバージョンにアップデートしてこの曲をゲット,MàJ pour obtenir ce morceau,Aggiorna nuova versione per avere questa canzone,تحديث النسخة للحصول على هذه الأغنية,Bu şarkı almak için güncelleştirin,"Perbarui versi,dapatkan lagu ini",,
,,,创建完成的歌单卡片未输入名字状态-歌单名 + 系统默认给玩家创建的第一个歌单-歌单名,favorites_diy_txt8,专属歌单,專屬歌單,Exclusive playlist,Álbum exclusivo,Личные песни,Própria lista de musicas ,Eigene Playlist,나만의 플레이리스트,マイプレイリスト,Playlist exclusif,Tua propria lista canzoni,قائمة الأغاني الخاصة,Özel şarkı listesi,Daftar lagu khusus,,
,,,创建歌单卡片秀出（编辑状态）-主标题,favorites_diy_txt9,输入你的歌单名字,輸入你的歌單名字,Enter playlist name,Nombre de tu álbum,Введите название,O nome da lista,Playlist-Titel,제목을 입력하세요,プレイリスト名称,Titre du playlist,Inserisci il nome,اسم قائمة الأغاني,Liste adını doldur,Judul Daftar Lagu,,
,,,创建歌单卡片秀出（编辑状态）-副标题,favorites_diy_txt11,把喜欢的歌曲放进歌单,把喜歡的歌曲放進歌單,Put sweet songs in playlist,Pon tus favoritas en álbum,Добавьте песню,Põe as músicas na lista,Lieblingslieder hinzufügen!,좋아'한 곡을 리스트에 놓기,好きな曲をプレイリストに,Mettre le favori à la liste,Metti canzoni amate a lista,وضع أغاني مفضلة إلى القائمة,Şarkıları listeye koyun,Simpan lagu ke daftar lagu,,
,,,输入框内灰色文字,favorites_diy_txt10,最多可输入10个文字,最多可輸入10個文字,20 characters max,20 letras máximo,Менее 20 символов,máximo 20 caracteres,Zeichen-Limit: 20,20문자이내,10文字まで入力可能,20 caractères au max,Non oltre 20 lettere,إدخال لا يفوق 20 حرفا,En fazla 20 karakter,≤ 20 Karakter,,
,,,按钮-创建,favorites_diy_txt6,创建,創建,Create,Crear,Создать,Criar,Erstellen,작성,作成,Créer,Crea,إنشاء,Yarat,Ciptakan,,
,,,按钮-保存,favorites_diy_txt7,保存,保存,Save,Guardar,Сохранить,Guardar,Speichern,저장,保存,Garder,Salva,حفظ,Kaydet,Simpan,,
,,toast,勾选歌曲少于3首,favorites_diy_toast_txt1,歌曲少于3首不能创建歌单,歌曲少於3首不能創建歌單,You need at least 3 songs to create a playlist,No se puede crear álbum con menos de 3 canciones,Плейлист не может состоять из менее трёх песен,Não pode criar lista de músicas com menos de 3 musicas ,Mit weniger als 3 Liedern ist leider keine Playlist zu erstellen,"노래가 3수 미만, 플레이리스트를 작성할 수 없습니다",レイリストを作成するには最低３曲が必要です。,Au moins 3 morceaux pour créer un playlist,Non si può creare la lista canzoni con meno di 3 canzoni,لا تستطيع إنشاء قائمة الأغاني إلا بعد حفظ ثلاث أغاني على الأقل,Şarkı sayısı 3'ten az olsa liste oluşturulamaz,Lagu kurang dari 3 tidak bisa menciptakan daftar lagu.,,
,,,歌单创建（保存）成功,favorites_diy_toast_txt2,歌单创建成功！,歌單創建成功！,Playlist is created!,Álbum creado,Плейлист успешно создан!,A sua lista de músicas foi criada com sucesso!,Playlist erfolgreich erstellt!,플레이리스트 작성 완료!,プレイリストが作成できました,Playlist créé!,Lista canzoni è creata con successo!,تم إنشاء قائمة الأغاني بنجاح!,Şarkı listesi oluşturulmuştu!,Daftar lagu berhasil diciptakan,,
,,,歌单删除成功,favorites_diy_toast_txt3,歌单删除成功！,歌單刪除成功！,Playlist is deleted!,Álbum eliminado,Плейлист успешно удален!,A sua lista de músicas foi excluída com sucesso!,Playlist gelöscht!,플레이리스트 삭제 완료!,プレイリストが削除できました,Playlist supprimé !,Lista canzoni è cancellata con successo!,تم حذف قائمة الأغاني بنجاح!,Şarkı listesi silinmişti!,Daftar lagu berhasil dihapuskan,,
,,,歌单里选中歌曲超过限制,favorites_diy_toast_txt4,单个歌单不能超过10首歌曲哟,單個歌單不能超過10首歌曲喲,There shoulen't be more than 10 songs in single song list,Cada álbum no debe tener más de 10 canciones,Каждый плейлист не может включать больше 10 песен,Não pode colocar mais de 10 músicas em cada lista,Jede Playlist kann höchstens 10 Lieder enthalten,플레이리스트당 10수의 노래만 수록할 수 있습니다,１つのプレイリストに最大10曲が選べます,"Un playlist, 10 morceaux au max",Ogni lista può contenere al massimo 10 canzoni,لا تتجاوز قائمة الأغاني عشر أغاني,Tek şarkı listesi 10'den fazla şarkı olamaz,Paling banyak menyimpan 10 lagu di setiap album,,
,,,歌单创建（保存）——歌曲状态未解锁,favorites_diy_toast_txt5,当前歌单不能玩！歌单里有未解锁歌曲，登录FB可以找回歌单歌曲,當前歌單不能玩！歌單裡有未解鎖歌曲，登錄FB可以找回歌單歌曲,The playlist can't be played because of locked songs. Log in FB to find the playlist songs,,"Плейлист недоступен, некоторые песни не открыты, войдите через FB, восстановите плейлисты и песни",,"Wegen nicht freigeschalteten Lieder ist die Playlist unspielbar. Melde mit FB an, um es zu beheben",미언락된 곡이 있어서 현재 플레이리스트를 플레이할 수 없습니다. Facebook 로그인하세요,このプレイリストにはロックされた曲があります、フェースブックを登録してプレイリストを取り戻す,Impossible de jouer le playlist avec morceaux bloqués. Connectez-vous au FB pour le retrouver,Non si può giocare la lista attuale perché include canzoni non sbloccate. Log in FB a recuperarla,قائمة الأغاني غير متاحة، توجد أغاني غير مفتوحة فيها، يرجى تسجيل فيسبوك لإيجاد الأغاني في القائمة,"Şarkı listesi şimdi oynanmaz, kilidi olan var. Lütfen fb hesabıyla giriş yapın ve şarkıyı bulun",,,
,,,,favorites_diy_toast_txt5_cn,当前歌单不能玩！歌单里有未解锁歌曲，绑定手机可以找回歌单歌曲,,,,,,,,,,,,,,,
,,,歌单创建（保存）——歌曲状态异常（高版本到低版本）,favorites_diy_toast_txt6,当前歌单不能玩，歌单里有新版本歌曲，升级到新版找回歌单歌曲,當前歌單不能玩，歌單裡有新版本歌曲，升級到新版找回歌單歌曲,The playlist can't be played because of new version songs. Upgrade to find the playlist songs,,"Плейлист недоступен, в нем содержатся новые песни, обновите версию, восстановите плейлисты и песни",,"Da es Lieder aus neuer Version gibt, ist die Playlist unspielbar. Durchs Update ist es zu beheben",새버전 곡이 있어서 현재 플레이리스트를 플레이할 수 없습니다. 게임 업데이트하세요,このプレイリストには新ヴァージョンの曲があります。アップデートしてプレイリストを取り戻す,Impossible de jouer le playlist avec morceaux de nouvelle version. MàJ pour retrouver le playlist,Non si può giocare la lista attuale perché include canzoni di nuova versione. Aggiorna a recuperare,قائمة الأغاني غير متاحة، توجد أغاني للنسخة الجديدة فيها، يرجى تحديث النسخة لإيجاد الأغاني في القائمة,"Şarkı listesi şimdi oynanmaz, yeni sürümdeki şarkı var. Lütfen güncelleştirin ve şarkıyı bulun",,,
,,战斗界面,icon文案,favorites_diy_result_txt,收藏喜欢歌曲，创建专属歌单,收藏喜歡歌曲，創建專屬歌單,Create more exclusive playlists,Crea más álbums exclusivos,Создайте больше плейлистов,Criar mais suas listas de músicas,Mehr Playlist erstellen,더 많은 나만의 플레이리스트 작성하기,ほかのプレイリストを作成する,Créer plus de playlists exclusifs,Crea più tue liste canzoni,إنشاء مزيد من قائمات الأغاني الخاصة,Fazla özel şarkı listesini oluşturun,Ciptakan lebih banyak daftar lagu,,
,,结果页,居中文案,favorites_diy_result_txt1,好听！我制作的歌曲串烧,好聽！我製作的歌曲串燒,Nice! I made the songs mix,¡Qué bien! ¡Mi música mixta!,Я создал свой микс песен!,A mistura que eu fiz é bonita!,Mein Medley ist super!,좋다! 내가 만든 메들리,最高！私が作ったメドレーソング,"Bon, le remix que j'ai créé",Bella! Canzone mix fatta da me,مجموعة من الأغاني الخاصة بي,Yaptığım şarkı karışımı harika,Enak！Campuran lagu gue buat,,
,,,分享条,favorites_diy_result_txt2,分享独一无二的串烧歌曲,分享獨一無二的串燒歌曲,Unique song mix! Share to friends,¡Combinación única!,Уникальный микс песен!,Mistura única de músicas,dein eigenes Medley!,나만의 플레이리스트!,唯一無二のメドレーソング！,Les remix uniques!,L'unica canzone mescolata!,مجموعة من الأغاني الفريدة!,Benzersiz şarkı kombinasyonu,Campuran lagu yg paling satu,,
,,分享过渡页,分享页居中文案,favorites_diy_share_txt1,这是我的专属歌单，你也可以定制！,這是我的專屬歌單，你也可以定制！,"This is my exclusive playlist, you can create one too!","Este es mi álbum exclusivo, ¡puedes hacer el tuyo!","Это мой личный плейлист, вы тоже можете создать свой!",Isto é minha lista de músicas. Pode fazer sua lista também!,"Das ist meine Playlist, du kannst auch deine erstellen!",이게 나만의 플레이리스트! 너만의 플레이리스트도 작성합시다!,これは私のプレイリスト、あなたも作れる！,"Mon playlist exclusif, vous pouvez aussi le créer !","È la mia lista canzoni, puoi personalizzare una tua!",هذه قائمة الأغاني الخاصة بي، تستطيع الإنشاء أيضا!,Bu özel şarkı listesi. Sen de bir dene!,"Ini daftar lagu gue, Lu bisa ciptakan juga",,
,,分享结果页,结果页卡片底部文案,favorites_diy_share_txt2,太好听了！这是钢琴块2里面我最喜欢的歌曲合集，你们也来听听！,太好聽了！這是鋼琴塊2裡面我最喜歡的歌曲合集，你們也來聽聽,"Amazing! This is a playlist of my favorite songs in Piano Tiles 2, come and listen!","¡Fantástico! Este es el álbum de mis canciones favoritas en Piano Tiles 2, ¡Escuchadlo!","Восхитительно! Это лучшая коллекция песен из игры Плитки фортепиано 2, вы тоже можете прослушать!",Que legal! Isto é coleção de músicas de que gosto mais no jogo Piano Tiles 2. Vocês podem ouvir!,Einfach wunderbar! Das ist eine Sammlung von meinen Lieblingsliedern in Piano Tiles 2. Hör mal!,어메이징! 제가 피아노 타일 2에 제일 좋아하는 음악모음이에요. 빨리 들어보세요!,すばらしい！これはピアノタイル２の中の私のお気に入り曲で作ったアルバムです、聞いてみてください！,Génial ! Le playlist de mes favoris dans Piano Tiles 2. Venez écouter !,Fantastico! È la raccolta di mie canzoni preferite in Piano Tiles2. Venite ad ascoltare!,رائع! هذه مجموعة من الأغاني المفضلة لي، تعالى إلى الاستماع إليها!,Harika! Piano Tiles 2 oyundaki en çok beğendiğim şarkı listesi. Gel bir dinleyin!,"Fantastis!Ini kumpulan lagu yang paling saya sukai di Piano Tiles 2,cepat dengarkan sekarang!",,
,,歌曲大卡,游戏名称,,钢琴块2,鋼琴塊2,,,,,,,,,,,,,,
,,,歌曲名称,,,,,,,,,,,,,,,,,
,,每日签到,文案,Text_content,每日奖励,每日獎勵,Daily reward,Premio Diario,Ежедневные награды,Recompensas diárias,Tägliche Belohnungen,일일 보상,毎日の報酬,Récompenses quotidiennes,Premi giornalieri,المكافآت اليومية,Günlük ödüller,Hadiah Harian,,
,,,按钮,Text_recieve,领取,領取,Receive,Recibir,Получить,Receber,Holen,받기,受け取る,Recevez,Ricevi,تلقي,Al,Menerima,,
,,,文案,Invite_ friends_home,邀请好友获取5点体力,邀請好友獲取5點體力,Invite friends for free energies.,Invita amigos para ganar energías,Пригласите друзей и получите 5 жизней,Convide amigos para vidas grátis,Lade Freunde für Energie ein.,친구를 초대하여 무료 에너지를 받으세요,体力を獲得するために友達を招待する,Invitez vos amis pour gagner l'énergie,Invita amici per energia gratis,تدعو أصدقائك لكسب طاقات,Bedava enerji için arkadaşlarınızı davet edin.,Mengajak teman untuk nyawa gratis,,
,,,按钮,Invite,邀请,邀請,Invite,Invitar,Пригласить,Convidar,Einladen,초대,招待,Inviter,Invita,دعوة,Davet et,Mengajak,,
,,gp评分,文案,Give us five stars！,亲，求五星好评~,親，求五星好評,Give us five stars！,¡Danos 5 estrellas!,Поставьте нам 5 звезд!,Dê-nos cinco estrelas,Gib’ uns fünf Sterne,별 5 개를 주세요!,5つ星の評価を頂ければ！,Donnez-nous 5 étoiles,Vota cinque stelle!,قيمنا بخمسة نجوم,Lütfen bize beş yıldız verin!,Beri kami bintang lima dong,,
,,,按钮,Rate,去点赞,去點讚,Rate,Calificar,Оценить,Avaliar,Bewerten,평가하기,レート,Évaluer,Vota,قيم,Puan Ver,Suka,,
,2.music,歌曲名称,,,见歌曲名称表单,見歌曲名稱表單,,,,,,,,,,,,,,
,,按钮,,Play,开始,開始,Play,Jugar,Играть,Jogar,Spielen,플레이,プレイ,Jouer,Gioca,إلعب,Oyna,Main,,
,class_title,介绍卡片文案,,待新方案,挑战大厅,,Challenge hall,Salón de desafío,Зал соревнования,Salão de dasafio,Die „Challenge Hall“,도전 홀,チャレンジホール,Salle de défi,Sfida Lega,قاعة التحدي,,,,
,,,,待新方案,全球竞赛,,Global competition,Competencia global,Мировые состязания,Competição global,Weltweiter Wettkampf,글로벌 경쟁,世界のプレーヤーと競争,Compétition globale,Competizione Globale,المنافسة العالمية,,,,
,,,,待新方案,手速竞技,,Rush Challenge,Desafío de velocidad,Соревнования на скорость,Desafio de velocidade,Rush-Herausforderung,러쉬 챌린지,ラッシュチャレンジ,Défi de vitesse,Sfida a Corsa,التحدي راش,,,,
,,,,待新方案,挑战极限,,Highly challenging,Muy desafiante,Схватка сильнейших,Desafiante,Hochherausfordernd,하이 챌린지,全力チャレンジ,Défie la limite,Sfida d'alto livello,تحدي كبير,,,,
,4.setting,声音,,text_sound_Setting,声音,聲音,Sound,Sonido,Звук,Som,Ton,사운드,音,Son,Suono,الصوت,Ses,Suara,,
,,邀请好友,,Text_invitefriends_Setting,邀请好友,邀請好友,Invite friends,Invitar,Пригласить друзей,Convidar amigos,Freunde einladen,친구 초대하기,友達を招待する,Inviter des amis,Invita amici,دعوة,Davet et,Mengajak teman,,
,,反馈,,text_feedback_Setting,帮助与支持,幫助與支持,FAQ & Support,Ayuda y Soporte,Помощь,FAQ & Suporte,Hilfe und Unterstützung,문의와 서포트,ヘルプ＆サポート,Aide et assistance,Aiuto e supporto,التعليمات والدعم,Yardım ve Destek,Tanggapan,,
,,,,text_mail,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,pianotiles2cmcm@gmail.com,,
,,语言,,text_language_Setting,语言,語言,Language,Idioma,Язык,Idioma,Sprache,언어,言語,Langue,Lingua,اللغة,Dil,Bahasa,,
,,,确认按钮,language_done,确认,確認,Done,OK,Готово,OK,Ok,완료,確認,Confirmer,Fatto,منجز,Tamam,OK,,
,,评分,,taxt_rate,评分,評分,Rate us now!,Calificar,Оценить,Avaliar,Bewerten,평가,評価,Notez-nous,Valutazione,تقييم,Puan verin,Menilai,,
,,关注facebook主页,,text_facebook_Setting,关注Facebook,關注Facebook,Like us on Facebook,"Danos ""Me Gusta"" en Facebook",Следите за нами на Facebook,Siga-nos no Facebook,Like uns auf Facebook,"페이스북에서 저희를 ""좋아요"" 해주세요.",Facebookで注目,Aimez-nous sur Facebook,Metti Mi Piace su Facebook,تابعنا على فيسبوك,Facebook'ta bizi takip edin,Sukai kami di facebook,,
,,关于,,text_tiles_Setting,钢琴块2,鋼琴塊2,Piano Tiles 2,Piano Tiles 2,О игре,Piano Tiles 2,Piano Tiles 2,피아노 타일 2,ピアノタイル2,Piano Tiles 2,Piano Tiles 2,بيانو تايلز 2,Piano Tiles 2,Piano tiles 2,,
music-游戏开始页-PianoInfo,,底部文案,,music_name,歌曲名：%1$s,歌曲名：%1$s,Music: %1$s,Música: %1$s,Композиция: %1$s,Música: %1$s,Lied: %1$s,음악: %1$s,音楽: %1$s,Musique: %1$s,Musica: %1$s,الموسيقى:%1$s,Müzik: %1$s,Lagu: %1$s,,
,,,,best_score,最高分：%1$d,最高分：%1$d,Best Score: %1$d,Mejor: %1$d,Лучший результат: %1$d,Melhor: %1$d,Highscore: %1$d,최고 점수: %1$d,ベストスコア: %1$d,Meilleure note: %1$d,Miglior record: %1$d,أفضل درجة:%1$d,En iyi skor: %1$d,Nilai tertinggi:%1$d,,
