Id,Mid,Type,Lock,NeedLv,NeedGold,NeedDiamond,NeedCrow,Musiclevel,RewarID,LocalMusicVer,Recommend,MusicCard,MusicTime,HomeOrder,VipMusicVersion,FavoriteRate,Playmark,VipCn,Stylelabel,Fallingrate,TID,GoldenSong
76,500005,1,2,,,0,,0,2007,,,9,,,,,,,,,,
77,500006,1,2,,,0,,0,2007,,,9,,,,,,,,,,
78,550001,1,2,,,0,,0,2007,,,8,,,,,,,,,,
79,500007,1,2,,150,,,0,2007,,,1,,,,,,,,,,
80,600006,1,2,,4200,,,0,2007,,,9,,,,,,,,,,
701,106001,2,2,,,0,,0,2007,,,2,,,,,,,,,,
702,105008,2,2,,,0,,0,2007,,,3,,,,,,,,,,
703,120019,2,2,,,0,,0,2007,,,4,,,,,,,,,,
704,105009,2,2,,,0,,0,2007,,,2,,,,,,,,,,
705,105003,2,2,,,0,,0,2007,,,1,,,,,,,,,,
706,105004,2,2,,,0,,0,2007,,,2,,,,,,,,,,
707,105002,2,2,,,0,,0,2007,,,3,,,,,,,,,,
708,120042,2,2,,,0,,0,2007,,,1,,,,,,,,,,
709,120005,2,2,,,0,,0,2007,,,3,,,,,,,,,,
710,106006,2,2,,,0,,0,2007,,,2,,,,,,,,,,
711,106007,2,2,,,0,,0,2007,,,3,,,,,,,,,,
712,120023,2,2,,,0,,0,2007,,,4,,,,,,,,,,
713,120021,2,2,,,0,,0,2007,,,4,,,,,,,,,,
714,120007,2,2,,,0,,0,2007,,,6,,,,,,,,,,
715,120011,2,2,,,0,,0,2007,,,8,,,,,,,,,,
716,120046,2,2,,,0,,0,2007,,,5,,,,,,,,,,
717,120002,2,2,,,0,,0,2007,,,2,,,,,,,,,,
718,120012,2,2,,,0,,0,2007,,,2,,,,,,,,,,
719,120013,2,2,,,0,,0,2007,,,3,,,,,,,,,,
720,120008,2,2,,,0,,0,2007,,,8,,,,,,,,,,
721,120010,2,2,,,0,,0,2007,,,5,,,,,,,,,,
722,106003,2,2,,,0,,0,2007,,,1,,,,,,,,,,
723,120034,2,2,,,0,,0,2007,,,4,,,,,,,,,,
724,120009,2,2,,,0,,0,2007,,,4,,,,,,,,,,
725,120004,2,2,,,0,,0,2007,,,3,,,,,,,,,,
726,120022,2,2,,,0,,0,2007,,,5,,,,,,,,,,
727,120031,2,2,,,0,,0,2007,,,2,,,,,,,,,,
728,120030,2,2,,,0,,0,2007,,,8,,,,,,,,,,
729,106009,2,2,,,0,,0,2007,,,2,,,,,,,,,,
730,106010,2,2,,,0,,0,2007,,,2,,,,,,,,,,
731,106011,2,2,,,0,,0,2007,,,2,,,,,,,,,,
732,106012,2,2,,,0,,0,2007,,,3,,,,,,,,,,
733,106013,2,2,,,0,,0,2007,,,1,,,,,,,,,,
734,120029,2,2,,,0,,0,2007,,,2,,,,,,,,,,
735,120024,2,2,,,0,,0,2007,,,3,,,,,,,,,,
736,120003,2,2,,,0,,0,2007,,,3,,,,,,,,,,
737,120006,2,2,,,0,,0,2007,,,4,,,,,,,,,,
738,120044,2,2,,,0,,0,2007,,,3,,,,,,,,,,
739,120045,2,2,,,0,,0,2007,,,5,,,,,,,,,,
740,120016,2,2,,,0,,0,2007,,,6,,,,,,,,,,
741,120032,2,2,,,0,,0,2007,,,1,,,,,,,,,,
742,120033,2,2,,,0,,0,2007,,,3,,,,,,,,,,
743,120035,2,2,,,0,,0,2007,,,2,,,,,,,,,,
744,120036,2,2,,,0,,0,2007,,,6,,,,,,,,,,
745,120014,2,2,,,0,,0,2007,,,1,,,,,,,,,,
746,120037,2,2,,,0,,0,2007,,,3,,,,,,,,,,
747,120038,2,2,,,0,,0,2007,,,3,,,,,,,,,,
748,120039,2,2,,,0,,0,2007,,,2,,,,,,,,,,
749,120040,2,2,,,0,,0,2007,,,3,,,,,,,,,,
750,120043,2,2,,,0,,0,2007,,,6,,,,,,,,,,
751,120027,2,2,,,0,,0,2007,,,4,,,,,,,,,,
752,120026,2,2,,,0,,0,2007,,,3,,,,,,,,,,
753,120020,2,2,,,0,,0,2007,,,4,,,,,,,,,,
754,120015,2,2,,,0,,0,2007,,,2,,,,,,,,,,
755,120041,2,2,,,0,,0,2007,,,7,,,,,,,,,,
756,120047,2,2,,,0,,0,2007,,,4,,,,,,,,,,
757,120048,2,2,,,0,,0,2007,,,3,,,,,,,,,,
758,120049,2,2,,,0,,0,2007,,,4,,,,,,,,,,
759,120050,2,2,,,0,,0,2007,,,6,,,,,,,,,,
760,120060,2,2,,,0,,0,2007,,,6,,,,,,,,,,
761,120061,2,2,,,0,,0,2007,,,3,,,,,,,,,,
762,120062,2,2,,,0,,0,2007,,,1,,,,,,,,,,
763,120063,2,2,,,0,,0,2007,,,2,,,,,,,,,,
764,120064,2,2,,,0,,0,2007,,,2,,,,,,,,,,
765,120065,2,2,,,0,,0,2007,,,3,,,,,,,,,,
766,120066,2,2,,,0,,0,2007,,,2,,,,,,,,,,
767,120067,2,2,,,0,,0,2007,,,6,,,,,,,,,,
768,120068,2,2,,,0,,0,2007,,,2,,,,,,,,,,
769,120069,2,2,,,0,,0,2007,,,3,,,,,,,,,,
770,120070,2,2,,,0,,0,2007,,,2,,,,,,,,,,
771,120071,2,2,,,0,,0,2007,5,,1,,,,,,,,,,
772,120074,2,2,,,0,,0,2007,5,,2,,,,,,,,,,
773,120075,2,2,,,0,,0,2007,5,,2,,,,,,,,,,
774,120073,2,2,,,0,,0,2007,5,,2,,,,,,,,,,
775,120077,2,2,,,0,,0,2007,5,,3,,,,,,,,,,
776,120072,2,2,,,0,,0,2007,5,,4,,,,,,,,,,
777,120345,2,2,,,0,,0,2007,,,1,,,,,,,,,,
778,120220,2,2,,,0,,0,2007,,,9,,,,,,,,,,
779,120154,2,2,,,0,,0,2007,,,9,,,,,,,,,,
780,120462,2,2,,,0,,0,2007,,,8,,,,,,,,,,
781,120599,2,2,,,0,,0,2007,,,9,,,,,,,,,,
782,120366,2,2,,,0,,0,2007,,,9,,,,,,,,,,
783,120483,2,2,,,0,,0,2007,,,9,,,,,,,,,,
784,400004,2,2,,,0,,0,2007,,,9,,,,,,,,,,
785,120076,2,2,,,0,,0,2007,,,3,,,,,,,,,,
786,590001,2,2,,69,,,0,2007,,,6,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,
1901,206001,3,1,1,,,,1,,,,,,,,0,,,,,,
1902,206002,3,1,1,,,,1,,,,,,,,0,,,,,,
1903,206003,3,1,1,,,,1,,,,,,,,0,,,,,,
1905,206005,3,1,1,,,,1,,,,,,,,0,,,,,,
1906,206006,3,1,1,,,,1,,,,,,,,0,,,,,,
1907,206007,3,1,1,,,,1,,,,,,,,0,,,,,,
